2020-12-06 21:15:50,702 root         DEBUG    Creating sql DomainInfo
2020-12-06 21:15:50,703 root         DEBUG    Creating statistics DomainInfo
2020-12-06 21:15:50,703 root         DEBUG    Creating databases DomainInfo
2020-12-06 21:15:50,704 root         DEBUG    Creating python DomainInfo
2020-12-06 21:15:50,835 git.cmd      DEBUG    Popen(['git', 'version'], cwd=C:\Users\Jai\Documents\github\hacker_rank\automation, universal_newlines=False, shell=None, istream=None)
2020-12-06 21:15:50,885 git.cmd      DEBUG    Popen(['git', 'version'], cwd=C:\Users\Jai\Documents\github\hacker_rank\automation, universal_newlines=False, shell=None, istream=None)
2020-12-06 21:15:51,956 root         INFO     Directory - Home: C:\Users\Jai\Documents\github\hacker_rank
2020-12-06 21:15:51,956 root         DEBUG    WebPageInfo: Opening Driver.
2020-12-06 21:15:55,014 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "firefox", "acceptInsecureCerts": true}}, "desiredCapabilities": {"browserName": "firefox", "acceptInsecureCerts": true, "marionette": true}}
2020-12-06 21:15:55,015 urllib3.connectionpool DEBUG    Starting new HTTP connection (1): 127.0.0.1:60411
2020-12-06 21:15:57,717 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session HTTP/1.1" 200 726
2020-12-06 21:15:57,717 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:15:57,720 root         DEBUG    WebPageInfo - logging into Hackerrrank.
2020-12-06 21:15:57,720 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/url {"url": "https://www.hackerrank.com/auth/login"}
2020-12-06 21:15:59,104 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/url HTTP/1.1" 200 14
2020-12-06 21:15:59,105 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:15:59,105 root         DEBUG    WebPageInfo - reading account information.
2020-12-06 21:15:59,106 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element {"using": "css selector", "value": "[id=\"input-1\"]"}
2020-12-06 21:15:59,122 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element HTTP/1.1" 200 88
2020-12-06 21:15:59,123 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
