num,name,score,difficulty,rate,url,solution_url,completed,TODO
1,Index Architecture Types,2,EasyMultiple Choice Question,61.20%,https://www.hackerrank.com/challenges/indexes-1,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/2_indexes/1_indexarchitecturetypes.md,1.0,1.0
2,Indexes - 2,2,Multiple Choice Question,51.46%,https://www.hackerrank.com/challenges/indexes-2,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/2_indexes/2_indexes-2.md,1.0,1.0
3,Indexes - 3,2,Multiple Choice Question,50.44%,https://www.hackerrank.com/challenges/indexes-3/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/2_indexes/3_indexes-3.md,0.0,1.0
4,Indexes - 4,2,Multiple Choice Question,69.61%,https://www.hackerrank.com/challenges/indexes-4/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/2_indexes/4_indexes-4.md,0.0,1.0
